feature,coefficient,abs_coeff,intercept
DEW_C,10.614153195915868,10.614153195915868,54.40772375624818
RH_PCT,-5.420520035933599,5.420520035933599,54.40772375624818
VIS_M,-0.3836937019137056,0.3836937019137056,54.40772375624818
SLP_HPA,-0.280727406955579,0.280727406955579,54.40772375624818
DAY_OF_YEAR,0.2482117806364243,0.2482117806364243,54.40772375624818
MONTH,-0.1408576711603538,0.1408576711603538,54.40772375624818
WIND_SPEED,-0.1159308597952756,0.1159308597952756,54.40772375624818
ELEVATION,0.0673920511067373,0.0673920511067373,54.40772375624818
LONGITUDE,-0.058082532350836,0.058082532350836,54.40772375624818
LATITUDE,0.0293419612788402,0.0293419612788402,54.40772375624818
HOUR,-0.0276222624649332,0.0276222624649332,54.40772375624818
WIND_DIR,-0.0268946135817585,0.0268946135817585,54.40772375624818
PRECIP_MM,0.012320106153147,0.012320106153147,54.40772375624818
